iter	Passed	Remaining
0	1	261
1	1	230
2	2	216
3	3	200
4	4	201
5	5	221
6	6	220
7	7	219
8	7	216
9	8	212
10	9	209
11	10	209
12	11	207
13	11	205
14	12	202
15	13	199
16	14	197
17	14	196
18	15	193
19	16	190
20	16	188
21	17	187
22	18	185
23	19	184
24	19	182
25	20	180
26	21	179
27	21	177
28	22	174
29	23	173
30	23	171
31	24	169
32	24	168
33	25	166
34	26	165
35	26	163
36	27	162
37	28	160
38	28	159
39	29	158
40	29	157
41	30	156
42	31	156
43	32	155
44	32	154
45	33	153
46	34	152
47	34	150
48	35	149
49	36	148
50	36	147
51	37	146
52	37	145
53	38	144
54	39	143
55	39	141
56	40	140
57	40	139
58	41	138
59	41	137
60	42	136
61	43	135
62	43	134
63	44	133
64	45	132
65	45	131
66	46	131
67	47	130
68	47	129
69	48	129
70	49	128
71	49	127
72	50	126
73	51	126
74	51	125
75	52	124
76	52	123
77	53	122
78	54	121
79	54	120
80	55	118
81	55	117
82	56	117
83	56	116
84	57	114
85	57	114
86	58	112
87	58	112
88	59	111
89	59	110
90	60	109
91	61	109
92	61	108
93	62	107
94	62	106
95	63	105
96	63	104
97	64	103
98	64	102
99	65	102
100	65	101
101	66	100
102	67	99
103	67	98
104	68	98
105	68	97
106	69	96
107	70	95
108	70	95
109	71	94
110	71	93
111	72	92
112	72	92
113	73	91
114	74	90
115	74	89
116	75	89
117	75	88
118	76	88
119	77	87
120	77	86
121	78	86
122	78	85
123	79	84
124	80	84
125	81	83
126	81	82
127	82	82
128	82	81
129	83	80
130	83	80
131	84	79
132	85	78
133	85	77
134	86	77
135	86	76
136	87	76
137	88	75
138	88	74
139	89	73
140	89	73
141	90	72
142	91	71
143	91	71
144	92	70
145	92	69
146	93	69
147	93	68
148	94	67
149	95	67
150	96	66
151	96	66
152	97	65
153	97	64
154	98	64
155	99	63
156	99	62
157	100	62
158	100	61
159	101	60
160	102	60
161	102	59
162	103	59
163	104	58
164	104	57
165	105	57
166	106	56
167	106	55
168	107	55
169	107	54
170	108	53
171	109	53
172	109	52
173	110	51
174	110	51
175	111	50
176	112	49
177	112	49
178	113	48
179	114	48
180	114	47
181	115	46
182	115	46
183	116	45
184	117	45
185	118	44
186	118	43
187	119	43
188	120	42
189	120	42
190	121	41
191	122	40
192	123	40
193	123	39
194	124	38
195	125	38
196	126	37
197	126	37
198	127	36
199	128	35
200	128	35
201	129	34
202	129	33
203	130	33
204	131	32
205	131	32
206	132	31
207	133	30
208	133	30
209	134	29
210	134	28
211	135	28
212	135	27
213	136	26
214	137	26
215	137	25
216	138	24
217	138	24
218	139	23
219	140	22
220	140	22
221	141	21
222	142	21
223	142	20
224	143	19
225	144	19
226	144	18
227	145	17
228	145	17
229	146	16
230	147	15
231	147	15
232	148	14
233	148	13
234	149	13
235	149	12
236	150	12
237	151	11
238	151	10
239	152	10
240	152	9
241	153	8
242	153	8
243	154	7
244	155	6
245	155	6
246	156	5
247	156	5
248	157	4
249	157	3
250	158	3
251	158	2
252	159	1
253	159	1
254	160	0
255	161	0
