iter	Passed	Remaining
0	92	92842
1	94	47149
2	96	31917
3	97	24386
4	99	19845
5	101	16775
6	102	14540
7	104	12921
8	105	11615
9	106	10561
10	107	9705
11	110	9061
12	111	8468
13	112	7927
14	113	7476
15	115	7105
16	116	6755
17	117	6431
18	119	6158
19	120	5908
20	122	5695
21	123	5494
22	124	5307
23	126	5161
24	128	5013
25	129	4861
26	130	4720
27	132	4597
28	133	4482
29	135	4369
30	136	4256
31	137	4157
32	138	4071
33	140	3992
34	141	3911
35	143	3841
36	145	3777
37	146	3706
38	147	3643
39	149	3580
40	150	3523
41	151	3465
42	153	3412
43	154	3353
44	155	3307
45	157	3264
46	158	3215
47	159	3171
48	161	3128
49	162	3092
50	164	3053
51	165	3016
52	166	2978
53	167	2941
54	169	2907
55	170	2875
56	171	2841
57	172	2806
58	174	2780
59	175	2751
60	176	2721
61	177	2691
62	178	2661
63	180	2636
64	181	2614
65	182	2587
66	183	2562
67	185	2538
68	186	2516
69	188	2499
70	189	2484
71	191	2462
72	192	2441
73	193	2426
74	195	2411
75	196	2391
76	197	2370
77	199	2354
78	200	2339
79	201	2319
80	202	2300
81	204	2283
82	204	2260
83	206	2246
84	207	2234
85	209	2226
86	210	2212
87	212	2201
88	213	2188
89	215	2175
90	216	2162
91	217	2150
92	219	2138
93	220	2125
94	221	2113
95	223	2102
96	224	2091
97	225	2078
98	227	2066
99	228	2055
100	229	2043
101	231	2035
102	232	2025
103	233	2013
104	234	2001
105	235	1990
106	237	1980
107	238	1972
108	240	1962
109	241	1953
110	243	1947
111	244	1939
112	245	1929
113	247	1919
114	248	1912
115	250	1905
116	251	1895
117	252	1886
118	253	1877
119	254	1869
120	256	1862
121	257	1852
122	258	1843
123	259	1833
124	260	1826
125	262	1821
126	263	1813
127	265	1805
128	266	1797
129	267	1789
130	268	1783
131	269	1775
132	271	1770
133	272	1763
134	274	1757
135	275	1751
136	276	1744
137	278	1737
138	279	1730
139	280	1724
140	281	1717
141	282	1708
142	283	1701
143	284	1694
144	286	1689
145	287	1683
146	289	1678
147	290	1671
148	291	1665
149	292	1659
150	294	1653
151	295	1647
152	296	1640
153	297	1635
154	298	1629
155	300	1623
156	301	1617
157	302	1611
158	303	1605
159	304	1600
160	305	1593
161	307	1589
162	308	1585
163	310	1580
164	311	1576
165	312	1571
166	314	1569
167	315	1563
168	316	1558
169	318	1554
170	319	1550
171	320	1544
172	322	1540
173	323	1536
174	324	1531
175	326	1527
176	327	1522
177	328	1518
178	330	1514
179	331	1510
180	333	1508
181	334	1504
182	336	1501
183	337	1497
184	338	1492
185	339	1487
186	341	1483
187	342	1479
